OrderID,CustomerID,ProductCategory,ProductName,Quantity,UnitPrice,OrderDate,Region
93,6511,Electronics,Smartwatch,6,95.01,2021-03-10,East
94,5232,Books,Textbook,10,352.09,2021-07-19,North
95,9464,Beauty,Lipstick,4,361.44,2022-09-27,South
96,8800,Grocery,Eggs,1,51.06,2021-03-29,West
97,4986,Sports,Bicycle,6,239.26,2022-12-23,East
98,7971,Books,Textbook,8,139.1,2021-05-29,South
99,2976,Beauty,Perfume,2,372.73,2023-11-14,South
100,4138,Beauty,Moisturizer,5,363.67,2022-12-10,East
101,2647,Beauty,Perfume,4,183.64,2021-09-11,North
102,9751,Home,Curtains,1,487.28,2023-02-07,East
103,3068,Grocery,Rice,1,289.16,2022-08-19,West
104,8216,Books,Biography,1,129.98,2022-09-05,North
105,2070,Toys,Doll,2,290.63,2023-11-06,North
106,3485,Home,Chair,5,47.16,2021-05-23,North
107,7818,Beauty,Shampoo,7,228.0,2022-06-25,East
108,8025,Sports,Bicycle,10,34.81,2020-07-22,South
109,4457,Sports,Football,3,123.73,2023-02-04,North
110,3564,Electronics,Smartwatch,8,346.24,2022-08-20,East
111,1534,Beauty,Perfume,5,352.98,2022-07-18,North
112,4824,Sports,Bicycle,4,215.44,2023-01-20,South
113,3441,Sports,Tennis Racket,2,34.52,2021-09-21,East
114,8195,Clothing,Dress,5,351.37,2021-07-11,West
115,8172,Clothing,Sweater,1,445.26,2021-10-22,East
116,1423,Clothing,Jeans,10,295.63,2020-02-12,East
117,1659,Home,Table,9,327.5,2021-07-23,South
118,8141,Grocery,Rice,8,177.24,2021-11-13,East
119,2713,Home,Curtains,7,348.37,2021-08-13,West
120,1601,Grocery,Rice,6,129.94,2020-08-25,West
121,9431,Electronics,Camera,8,209.56,2021-01-19,East
122,9167,Grocery,Rice,4,137.19,2020-09-25,East
123,8178,Grocery,Rice,1,486.71,2023-05-31,South
124,3594,Sports,Bicycle,1,278.36,2020-07-09,South
125,2858,Grocery,Rice,3,251.7,2021-08-20,East
126,7807,Grocery,Eggs,4,231.11,2020-10-23,West
127,4122,Home,Sofa,5,387.47,2022-04-29,East
128,9318,Sports,Football,5,364.4,2023-04-17,West
129,3434,Grocery,Bread,8,175.84,2023-02-04,West
130,8460,Books,Biography,4,288.04,2021-04-23,West
131,1715,Books,Comics,7,196.11,2023-09-21,South
132,9115,Electronics,Laptop,9,482.85,2021-11-10,North
133,8213,Clothing,Sweater,8,12.6,2020-10-22,West
134,3529,Clothing,Dress,5,172.59,2023-11-19,West
135,2315,Books,Magazine,7,477.3,2023-07-07,West
136,9864,Electronics,Camera,2,121.21,2023-11-02,East
137,4727,Clothing,Dress,2,381.38,2023-12-12,North
138,8269,Home,Curtains,1,27.77,2020-04-24,East
139,6873,Books,Comics,3,125.88,2022-04-23,South
140,3785,Home,Sofa,10,436.07,2023-06-23,South
141,9153,Home,Lamp,8,320.76,2022-07-30,East
142,1153,Grocery,Milk,9,83.2,2022-06-23,East
143,5901,Toys,Board Game,8,423.43,2021-02-11,West
144,8916,Clothing,Jeans,7,288.1,2023-03-23,East
145,5837,Electronics,Smartwatch,5,9.01,2023-11-05,North
146,9138,Sports,Tennis Racket,10,401.96,2021-03-24,South
147,5106,Home,Sofa,1,157.92,2022-06-21,North
148,6977,Home,Sofa,5,166.73,2022-04-30,South
149,4289,Home,Chair,6,267.77,2021-07-12,South
150,5210,Grocery,Milk,6,403.1,2022-08-17,North
151,3306,Beauty,Moisturizer,9,186.06,2022-03-19,North
152,5332,Clothing,Dress,6,338.05,2023-10-08,East
153,7242,Books,Novel,4,238.38,2023-06-22,East
154,4626,Clothing,Dress,5,326.37,2020-08-26,South
155,1742,Electronics,Headphones,8,62.48,2021-04-25,South
156,7367,Grocery,Milk,9,212.47,2020-11-12,West
157,2622,Grocery,Bread,7,469.83,2021-07-26,North
158,7070,Beauty,Moisturizer,8,475.52,2022-01-12,North
159,7018,Books,Novel,7,141.56,2020-09-07,West
160,2501,Beauty,Shampoo,1,30.04,2021-11-14,South
161,3063,Beauty,Lipstick,9,107.54,2021-03-18,South
162,6383,Home,Chair,1,142.25,2020-10-23,South
163,9850,Sports,Tennis Racket,2,332.22,2020-02-22,South
164,1243,Books,Biography,10,165.27,2020-12-22,East
165,1858,Home,Table,9,61.26,2020-05-10,West
166,8344,Books,Magazine,10,58.98,2022-10-28,South
167,1710,Sports,Dumbbells,1,35.11,2022-09-07,West
168,7984,Clothing,Dress,8,41.38,2020-06-14,East
169,3430,Clothing,Jeans,5,314.04,2023-04-13,East
170,7240,Sports,Dumbbells,9,304.69,2020-07-22,North
171,4522,Toys,Doll,4,209.84,2022-07-17,West
172,7815,Clothing,Jacket,7,159.7,2021-06-06,East
173,3500,Grocery,Rice,2,416.73,2020-07-09,West
174,2582,Books,Biography,9,34.69,2023-02-24,East
175,3002,Toys,Board Game,7,434.71,2020-04-15,East
176,6119,Books,Novel,10,256.17,2020-11-12,West
177,4674,Clothing,Jacket,9,186.94,2021-07-24,South
178,8030,Electronics,Camera,5,19.33,2021-07-13,East
179,6567,Books,Novel,3,435.58,2023-03-05,West
180,2140,Home,Sofa,2,374.33,2021-03-16,West
181,7878,Grocery,Milk,3,188.18,2021-10-26,North
182,1861,Home,Lamp,10,29.63,2020-06-16,East
183,8259,Toys,Doll,10,223.81,2021-07-13,South
184,9394,Clothing,Jacket,7,59.89,2023-10-20,West
185,9633,Sports,Football,4,200.66,2023-05-12,North
186,1125,Beauty,Perfume,4,384.84,2021-06-07,East
187,6375,Clothing,T-Shirt,8,374.77,2020-12-25,South
188,7229,Beauty,Shampoo,9,417.51,2021-12-26,North
189,7505,Electronics,Smartwatch,1,232.58,2020-06-08,East
190,8033,Toys,Doll,5,62.01,2020-02-12,East
191,3815,Grocery,Milk,2,221.17,2020-08-04,South
192,8138,Toys,Lego Set,2,200.9,2021-09-27,East
193,4630,Books,Biography,2,257.69,2020-08-21,South
194,6724,Books,Biography,4,55.89,2021-06-08,South
195,3842,Home,Sofa,3,475.89,2023-07-10,West
196,8601,Grocery,Bread,10,164.99,2023-07-08,East
197,3473,Grocery,Rice,8,223.89,2021-09-12,East
198,1920,Books,Magazine,2,158.65,2022-07-14,North
199,1932,Books,Textbook,2,324.11,2020-07-03,West
200,8581,Electronics,Smartwatch,10,327.66,2021-10-20,West
201,9214,Home,Sofa,8,56.23,2021-12-04,North
202,9266,Home,Sofa,4,355.27,2022-06-18,South
203,6962,Books,Textbook,7,207.34,2021-11-23,North
204,6482,Clothing,Jacket,2,281.19,2022-03-02,East
205,5128,Home,Curtains,2,293.46,2020-10-16,East
206,6082,Toys,Puzzle,10,355.87,2020-06-22,East
207,7171,Books,Biography,9,51.26,2023-10-05,West
208,9331,Books,Novel,6,157.89,2021-03-14,East
209,8967,Beauty,Foundation,3,81.7,2021-08-28,North
210,9317,Electronics,Headphones,10,69.87,2022-02-10,South
211,3658,Home,Chair,3,361.99,2020-03-30,West
212,6968,Beauty,Moisturizer,10,146.04,2022-07-08,South
213,9749,Beauty,Perfume,8,452.47,2021-02-01,East
214,8218,Grocery,Milk,7,253.94,2022-05-07,South
215,4271,Home,Curtains,1,322.38,2022-01-30,North
216,9452,Clothing,Jacket,2,382.74,2021-07-12,West
217,9410,Home,Table,2,473.47,2021-03-30,West
218,6727,Electronics,Smartwatch,1,201.24,2022-02-04,South
219,7326,Clothing,Jacket,4,18.95,2020-07-21,East
220,3392,Home,Sofa,5,459.11,2022-08-25,South
221,8685,Grocery,Bread,1,453.4,2020-02-08,East
222,4533,Home,Chair,10,266.25,2020-08-15,East
223,4893,Sports,Football,1,123.03,2023-08-01,West
224,2029,Clothing,Dress,10,270.35,2023-07-18,South
225,3352,Sports,Dumbbells,1,309.33,2021-05-07,West
226,4068,Clothing,Sweater,6,38.5,2022-12-13,North
227,7397,Grocery,Rice,7,490.61,2021-06-03,North
228,6850,Clothing,Jacket,4,367.81,2023-07-10,North
229,6447,Home,Sofa,6,275.28,2023-08-09,South
230,8612,Grocery,Pasta,3,36.23,2022-07-26,North
231,5807,Beauty,Lipstick,4,443.47,2021-10-08,East
232,9444,Toys,Lego Set,8,130.39,2023-08-17,South
233,5687,Books,Novel,6,140.24,2022-01-23,West
234,7553,Grocery,Eggs,6,486.99,2022-10-13,West
235,7018,Sports,Football,7,44.07,2023-05-18,South
236,9937,Sports,Yoga Mat,2,44.63,2023-09-15,East
237,6021,Grocery,Bread,7,87.49,2022-06-28,East
238,8325,Electronics,Headphones,10,499.08,2021-07-16,North
239,2229,Toys,Board Game,9,401.54,2023-10-23,South
240,1510,Home,Chair,8,22.23,2020-05-17,South
241,7001,Books,Comics,10,21.03,2020-11-10,West
242,7077,Books,Comics,2,289.09,2022-12-20,East
243,7521,Books,Textbook,4,480.46,2020-02-23,South
244,9176,Toys,Lego Set,2,134.58,2021-06-17,West
245,4515,Sports,Dumbbells,4,65.71,2020-05-31,West
246,3828,Grocery,Rice,6,335.58,2023-12-24,North
247,9882,Sports,Yoga Mat,3,357.35,2023-12-05,South
248,6922,Beauty,Lipstick,4,397.07,2021-04-29,West
249,1430,Books,Magazine,10,187.61,2023-02-03,South
250,2412,Clothing,Jacket,7,499.8,2022-09-07,West
251,7708,Clothing,Jeans,6,322.96,2022-07-10,West
252,9476,Books,Biography,9,321.7,2021-01-07,South
253,8088,Electronics,Smartphone,9,80.74,2020-12-03,South
254,6286,Beauty,Perfume,9,447.99,2020-06-10,East
255,4216,Sports,Tennis Racket,5,309.14,2020-07-10,South
256,3526,Home,Chair,10,172.12,2023-02-28,North
257,1464,Clothing,T-Shirt,10,136.0,2021-03-07,West
258,1496,Grocery,Bread,5,322.74,2021-09-10,West
259,5012,Toys,Board Game,8,41.12,2020-05-02,South
260,8202,Toys,Doll,8,105.99,2023-05-27,South
261,6121,Books,Textbook,7,69.73,2022-01-28,North
262,6228,Beauty,Moisturizer,2,137.4,2021-05-22,South
263,2586,Electronics,Headphones,7,432.76,2022-05-06,South
264,3616,Books,Magazine,6,98.97,2020-11-22,West
265,9433,Grocery,Eggs,5,251.2,2020-07-03,West
266,9281,Grocery,Pasta,4,293.76,2020-04-09,North
267,5609,Grocery,Bread,8,146.45,2020-01-17,North
268,8060,Home,Curtains,6,383.11,2022-01-19,North
269,7563,Electronics,Camera,9,101.35,2023-02-07,East
270,2204,Toys,Lego Set,8,383.38,2021-07-26,North
271,3108,Clothing,Dress,6,398.47,2021-11-25,East
272,3363,Beauty,Shampoo,9,203.69,2020-03-23,North
273,1637,Home,Curtains,8,262.07,2020-11-01,South
274,6373,Books,Biography,7,495.35,2021-09-04,East
275,9311,Grocery,Bread,5,240.07,2020-02-04,East
276,6427,Clothing,Dress,10,157.3,2023-11-10,North
277,8775,Sports,Bicycle,10,117.63,2020-04-15,West
278,3793,Toys,Puzzle,4,20.63,2023-12-05,North
279,4125,Electronics,Smartwatch,6,212.3,2022-04-25,South
280,7723,Grocery,Rice,3,261.75,2023-02-22,East
281,8837,Toys,Board Game,3,232.53,2022-12-27,East
282,9950,Books,Textbook,10,244.67,2021-05-19,East
283,5890,Beauty,Perfume,5,353.93,2023-11-14,West
284,6194,Grocery,Milk,9,467.18,2021-07-14,East
285,2996,Toys,Doll,6,477.53,2020-10-26,East
286,1689,Sports,Football,6,462.38,2023-09-05,East
287,8849,Beauty,Foundation,9,139.21,2023-02-25,East
288,3249,Clothing,Sweater,10,123.44,2020-04-13,South
289,4814,Electronics,Smartphone,7,168.5,2022-08-25,North
290,3252,Electronics,Camera,3,206.42,2022-09-01,West
291,4267,Sports,Yoga Mat,5,324.72,2020-07-02,South
292,9767,Electronics,Laptop,7,441.71,2020-12-26,North
293,7504,Grocery,Pasta,5,438.99,2020-01-19,East
294,2758,Books,Textbook,8,494.6,2023-01-17,West
295,3198,Grocery,Milk,4,405.36,2021-11-08,South
296,8518,Sports,Tennis Racket,1,369.63,2021-08-27,South
297,3875,Toys,Doll,9,167.32,2022-03-31,North
298,4027,Home,Table,6,468.23,2020-01-14,East
299,7284,Beauty,Moisturizer,5,477.25,2021-09-10,North
300,5285,Books,Biography,1,335.55,2022-08-11,East
301,3616,Toys,Lego Set,5,346.69,2023-08-01,East
302,7021,Beauty,Foundation,3,241.7,2022-07-20,East
303,7813,Grocery,Bread,4,382.12,2023-10-25,North
304,9609,Grocery,Bread,6,43.66,2023-03-01,North
305,2011,Beauty,Shampoo,9,79.18,2021-11-02,West
306,2904,Beauty,Shampoo,8,50.02,2022-11-11,West
307,1911,Grocery,Pasta,9,210.64,2023-02-28,North
308,8575,Sports,Football,7,130.96,2020-01-07,South
309,2196,Electronics,Smartwatch,6,351.69,2023-01-13,North
310,2130,Grocery,Rice,5,207.39,2020-10-04,West
311,7135,Toys,Doll,7,190.94,2023-10-30,South
312,6697,Clothing,Jeans,9,199.56,2020-09-17,South
313,1056,Electronics,Headphones,8,338.38,2023-01-20,West
314,9715,Toys,Puzzle,4,233.01,2020-11-13,East
315,4088,Clothing,T-Shirt,7,309.39,2020-02-02,South
316,4376,Clothing,T-Shirt,10,21.62,2023-05-09,North
317,5009,Electronics,Smartwatch,8,121.0,2021-03-20,North
318,3295,Sports,Tennis Racket,10,162.86,2023-05-09,East
319,4881,Sports,Tennis Racket,9,114.42,2021-09-07,East
320,1998,Home,Table,9,250.33,2021-12-06,West
321,9592,Books,Comics,7,78.86,2022-02-09,South
322,9813,Grocery,Pasta,4,153.86,2023-12-20,South
323,8586,Electronics,Camera,7,484.05,2023-02-15,South
324,7363,Beauty,Perfume,4,168.48,2020-06-10,West
325,7079,Clothing,Sweater,4,30.51,2022-02-11,North
326,2192,Beauty,Shampoo,9,112.42,2021-03-03,East
327,5967,Electronics,Laptop,4,481.23,2020-08-28,West
328,4974,Beauty,Moisturizer,4,278.28,2021-08-02,West
329,8639,Books,Textbook,5,183.02,2022-10-15,West
330,2615,Grocery,Milk,4,188.5,2022-04-27,North
331,4625,Home,Sofa,5,278.89,2023-04-11,West
332,5836,Home,Lamp,6,118.86,2023-03-12,South
333,9180,Books,Textbook,8,483.42,2023-08-07,West
334,8550,Home,Curtains,3,74.28,2023-01-24,West
335,4015,Electronics,Camera,1,420.34,2020-06-01,North
336,1104,Toys,Puzzle,4,38.64,2020-11-05,North
337,4583,Grocery,Milk,1,310.83,2023-09-27,West
338,8993,Electronics,Smartphone,9,278.06,2020-01-25,North
339,9673,Sports,Bicycle,5,13.49,2023-11-30,West
340,3937,Clothing,T-Shirt,9,78.7,2021-01-28,East
341,6807,Sports,Dumbbells,2,189.66,2022-04-11,West
342,4984,Beauty,Perfume,2,328.6,2023-08-23,North
343,2531,Toys,Doll,7,278.59,2020-04-24,North
344,3807,Clothing,Dress,7,324.23,2021-11-09,North
345,9653,Electronics,Laptop,4,451.13,2023-11-18,West
346,5441,Electronics,Smartphone,5,450.16,2023-02-28,North
347,3938,Books,Novel,4,295.58,2023-12-30,West
348,2260,Sports,Tennis Racket,10,124.03,2022-03-07,East
349,7288,Home,Sofa,9,374.0,2021-12-09,North
350,2600,Toys,Puzzle,2,173.59,2023-06-11,West
351,6347,Electronics,Headphones,8,247.85,2021-12-29,West
352,8075,Home,Chair,7,47.42,2023-06-20,East
353,5037,Clothing,T-Shirt,5,81.34,2023-12-28,South
354,7383,Books,Textbook,2,50.3,2021-09-23,West
355,6896,Sports,Football,3,48.21,2022-06-01,West
356,9395,Toys,Action Figure,1,49.36,2023-02-09,North
357,6315,Toys,Action Figure,5,209.84,2020-06-22,South
358,9537,Home,Table,3,73.73,2021-09-08,East
359,9079,Home,Sofa,3,220.16,2022-05-12,East
360,8933,Clothing,Jacket,5,472.39,2023-07-04,West
361,4203,Grocery,Rice,3,155.81,2022-03-21,East
362,7224,Books,Comics,6,218.16,2023-08-26,South
363,5922,Books,Magazine,4,242.11,2020-12-29,West
364,6228,Sports,Dumbbells,10,392.08,2021-10-29,West
365,5592,Toys,Board Game,2,466.37,2021-02-13,South
366,1440,Grocery,Pasta,8,399.85,2023-11-19,North
367,7703,Grocery,Pasta,5,124.8,2023-09-10,South
368,7932,Toys,Action Figure,8,495.4,2022-09-08,West
369,9755,Toys,Lego Set,1,396.41,2022-01-06,North
370,2791,Beauty,Perfume,3,325.26,2020-03-31,West
371,6432,Toys,Action Figure,1,53.81,2021-03-30,South
372,8303,Books,Comics,8,387.31,2023-04-20,South
373,6651,Electronics,Smartwatch,2,151.24,2020-06-24,North
374,3321,Books,Textbook,6,230.39,2021-02-27,West
375,6706,Grocery,Rice,8,362.39,2022-07-15,East
376,2100,Sports,Football,2,16.18,2021-12-03,North
377,3692,Beauty,Shampoo,3,278.2,2021-11-08,West
378,8570,Beauty,Moisturizer,3,97.26,2023-09-08,West
379,7481,Electronics,Camera,4,227.54,2022-05-29,West
380,1072,Beauty,Foundation,5,377.4,2020-05-08,North
381,9796,Home,Curtains,6,102.55,2020-08-21,East
382,9019,Books,Magazine,7,307.6,2023-04-17,North
383,6700,Books,Comics,10,90.4,2023-10-11,East
384,2388,Home,Curtains,2,123.09,2020-08-27,South
385,7116,Home,Chair,7,212.03,2020-10-09,West
386,7931,Home,Table,9,348.25,2023-08-14,South
387,3733,Grocery,Milk,3,97.61,2022-07-12,North
388,6882,Electronics,Smartwatch,3,101.59,2022-02-25,West
389,7703,Grocery,Eggs,8,246.91,2020-06-18,North
390,4613,Sports,Football,5,116.3,2021-08-14,South
391,8492,Grocery,Bread,9,61.04,2020-08-21,East
392,9898,Books,Magazine,1,381.2,2022-06-22,South
393,7965,Clothing,Jeans,5,438.03,2020-03-07,West
394,5305,Books,Novel,8,433.32,2020-08-28,South
395,4438,Books,Magazine,7,87.16,2020-10-12,South
396,4390,Electronics,Camera,6,268.48,2023-05-07,South
397,6302,Sports,Yoga Mat,10,137.33,2022-11-19,North
398,3221,Toys,Action Figure,5,434.19,2020-09-16,South
399,5090,Home,Curtains,4,381.93,2023-10-16,West
400,9019,Home,Chair,5,315.77,2022-02-07,West
401,2237,Clothing,Dress,9,376.15,2023-11-23,East
402,8449,Grocery,Milk,10,6.22,2020-07-09,West
403,6869,Clothing,Sweater,7,112.83,2022-05-29,South
404,9105,Sports,Yoga Mat,5,172.19,2023-03-29,South
405,8951,Books,Novel,1,54.29,2022-07-30,North
406,3035,Home,Table,8,5.33,2022-05-26,South
407,3161,Sports,Tennis Racket,5,51.2,2022-01-08,East
408,2350,Books,Biography,1,201.19,2021-09-17,South
409,8032,Clothing,T-Shirt,1,110.64,2020-06-08,South
410,4705,Grocery,Rice,1,349.32,2020-09-03,West
411,3165,Grocery,Rice,4,194.62,2020-07-28,North
412,6133,Books,Textbook,3,194.45,2020-09-29,South
413,2120,Electronics,Camera,3,222.85,2021-03-12,South
414,7745,Grocery,Pasta,2,448.81,2020-10-13,North
415,7291,Books,Comics,6,396.58,2021-05-22,East
416,2380,Beauty,Shampoo,10,302.0,2023-05-29,East
417,1439,Sports,Tennis Racket,9,305.43,2021-01-21,West
418,5842,Electronics,Laptop,8,196.01,2021-05-08,West
419,2163,Electronics,Headphones,6,70.33,2023-03-10,West
420,6986,Home,Table,2,13.26,2020-05-18,North
421,5295,Beauty,Lipstick,1,474.6,2022-03-26,East
422,9209,Toys,Doll,7,45.8,2023-01-03,South
423,5546,Clothing,Jacket,2,258.1,2021-02-20,South
424,9788,Books,Comics,10,318.98,2023-08-23,North
425,6081,Toys,Puzzle,1,126.02,2022-06-08,North
426,8428,Electronics,Headphones,3,64.12,2023-12-20,South
427,1185,Home,Table,6,263.89,2021-06-14,South
428,7092,Home,Curtains,2,386.86,2020-03-01,East
429,8034,Sports,Bicycle,2,135.16,2023-03-26,North
430,9128,Grocery,Bread,6,32.44,2023-03-06,South
431,7024,Home,Curtains,2,447.66,2023-10-12,North
432,4742,Electronics,Smartphone,1,126.05,2022-08-24,East
433,7274,Home,Lamp,1,278.67,2023-09-04,West
434,4678,Books,Biography,7,458.35,2021-10-17,East
435,2276,Books,Novel,9,338.3,2020-04-17,South
436,4656,Electronics,Smartwatch,2,439.11,2021-08-01,East
437,6362,Clothing,Sweater,8,8.94,2021-02-14,East
438,5979,Beauty,Moisturizer,6,297.89,2022-10-07,South
439,9954,Beauty,Foundation,1,466.54,2020-02-18,South
440,9872,Books,Novel,6,5.72,2023-09-08,West
441,6038,Clothing,Jeans,9,491.64,2022-05-09,West
442,1981,Home,Curtains,2,26.73,2021-04-19,West
443,7102,Grocery,Rice,10,52.31,2020-09-30,West
444,2226,Electronics,Smartwatch,3,122.2,2021-06-18,East
445,7438,Books,Textbook,8,139.62,2020-06-01,South
446,3230,Clothing,Jeans,2,86.37,2022-08-12,East
447,7660,Clothing,Sweater,6,482.49,2021-03-01,West
448,6051,Grocery,Milk,2,49.76,2023-11-06,East
449,1660,Beauty,Perfume,3,50.15,2021-05-23,East
450,7492,Electronics,Headphones,5,410.94,2020-12-22,North
451,7625,Grocery,Bread,9,128.68,2022-08-04,North
452,3290,Clothing,T-Shirt,1,416.03,2021-03-31,South
453,4246,Toys,Board Game,2,293.25,2021-06-14,North
454,1357,Clothing,Jeans,8,405.6,2020-07-07,East
455,3007,Electronics,Smartwatch,1,88.15,2023-03-21,West
456,7471,Grocery,Rice,7,343.19,2020-12-19,East
457,4517,Home,Curtains,5,225.78,2020-10-31,North
458,5026,Sports,Dumbbells,7,441.98,2022-09-08,North
459,2437,Sports,Dumbbells,3,212.52,2023-08-09,South
460,9907,Electronics,Smartwatch,6,242.44,2022-09-19,East
461,9231,Books,Comics,5,94.01,2021-10-15,South
462,1480,Sports,Football,8,267.07,2023-04-11,South
463,3615,Clothing,Jeans,4,136.93,2020-04-24,South
464,7363,Books,Biography,3,122.09,2021-10-13,East
465,1462,Books,Magazine,10,75.34,2021-01-20,West
466,9882,Sports,Tennis Racket,8,23.79,2020-04-25,South
467,4584,Electronics,Camera,8,5.34,2023-06-11,South
468,3137,Books,Biography,6,34.48,2020-10-29,South
469,2817,Books,Novel,6,353.75,2023-09-18,West
470,2655,Books,Textbook,6,72.54,2020-11-18,West
471,8982,Books,Biography,9,348.31,2023-06-10,East
472,4657,Home,Table,5,368.33,2021-08-26,South
473,3911,Electronics,Camera,7,426.12,2023-03-08,North
474,3983,Books,Magazine,4,321.63,2020-08-01,West
475,3304,Books,Novel,4,176.67,2021-10-16,South
